 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
198305,0.52,6.24,-1.4,0.69,-1.56,2.73,-2.03
198306,3.07,0.95,-3.9,0.67,1.8,0.18,-0.83
198307,-4.07,1.5,5.62,0.74,-3.13,2.04,1.12
198308,-0.5,-4.28,5.54,0.76,-5.43,-0.65,0.15
198309,0.91,0.61,1.01,0.76,-0.03,2.36,0.77
198310,-3.44,-3.57,4.97,0.76,-4.52,-1.63,1.16
198311,2.16,2.01,-0.72,0.7,-0.13,4.94,-1.25
198312,-1.78,-0.27,1.73,0.73,0.84,1.97,1.3
198401,-1.92,-0.38,7.58,0.76,-2.56,0.64,4.24
198402,-4.82,-1.69,3.33,0.71,0.22,-2.06,0.22
198403,0.63,0.07,0.46,0.73,1.07,2.51,0.8
198404,-0.51,-1.16,1.2,0.81,2.07,1.61,-1.65
198405,-5.97,0.06,0.31,0.78,1.51,0.81,-0.29
198406,1.82,-0.3,-2.66,0.75,-0.7,0.96,-3.58
198407,-2.74,-2.21,0.36,0.82,2.85,-1.45,-1.55
198408,10.28,-0.24,-1.82,0.83,-5.59,7.29,-1.81
198409,-0.8,0.17,5.28,0.86,3.62,4.28,1.75
198410,-0.84,-1.23,0.45,1.0,3.16,-1.21,-1.7
198411,-1.76,-0.65,4.06,0.73,1.64,-0.67,1.07
198412,1.84,-0.56,-0.26,0.64,1.49,0.8,-3.11
198501,7.99,3.31,-5.35,0.65,-6.82,2.32,-1.83
198502,1.22,0.79,-0.1,0.58,1.88,2.5,-0.08
198503,-0.84,-1.08,4.07,0.62,1.58,-1.37,-0.92
198504,-0.96,0.14,3.72,0.72,3.04,-2.46,0.17
198505,5.09,-2.22,-0.96,0.66,3.99,-0.54,-3.99
198506,1.27,0.52,0.38,0.55,3.57,-0.67,-2.42
198507,-0.74,2.84,-1.62,0.62,-3.91,3.62,1.62
198508,-1.02,-0.3,2.32,0.55,1.85,1.77,0.01
198509,-4.54,-1.59,1.29,0.6,1.51,-1.85,-0.8
198510,4.02,-1.51,0.75,0.65,4.88,0.66,-2.49
198511,6.48,0.25,-2.85,0.61,-0.47,2.41,-2.22
198512,3.88,-0.51,-1.54,0.65,-0.23,-0.34,-3.09
198601,0.65,1.21,0.44,0.56,3.0,0.84,-2.75
198602,7.13,-0.54,-0.72,0.53,2.76,-1.69,-3.62
198603,4.88,-0.59,-0.39,0.6,2.41,-0.07,-2.66
198604,-1.31,2.78,-2.87,0.52,-0.37,2.82,-1.24
198605,4.62,-1.35,-0.21,0.49,2.05,1.05,-1.49
198606,1.03,-0.96,1.28,0.52,5.07,-2.48,-6.4
198607,-6.45,-3.36,4.7,0.52,1.83,-2.86,-3.84
198608,6.07,-4.17,3.51,0.46,-5.28,1.14,4.75
198609,-8.6,2.36,3.22,0.45,-5.79,-0.31,3.91
198610,4.66,-2.5,-1.42,0.46,4.46,3.58,0.72
198611,1.17,-1.91,-0.07,0.39,-0.26,0.71,0.24
198612,-3.27,0.13,0.36,0.49,0.35,0.61,0.58
198701,12.47,-1.81,-3.16,0.42,2.2,0.31,3.19
198702,4.39,3.49,-5.91,0.43,-2.07,-1.11,-0.12
198703,1.64,0.45,1.61,0.47,1.68,1.81,4.33
198704,-2.11,-1.69,-0.39,0.44,0.22,-1.9,3.68
198705,0.11,-0.5,0.23,0.38,-0.74,-0.3,1.99
198706,3.94,-2.12,1.04,0.48,-0.25,0.01,-1.3
198707,3.85,-0.69,0.68,0.46,2.72,-0.22,2.24
198708,3.52,-0.77,-0.93,0.47,-0.86,2.45,-2.84
198709,-2.59,0.54,0.27,0.45,0.77,-0.4,2.98
198710,-23.24,-8.43,4.24,0.6,-7.86,-0.13,-5.8
198711,-7.77,2.72,2.95,0.35,-1.17,-0.87,-0.2
198712,6.81,0.13,-4.43,0.39,5.87,5.8,2.74
198801,4.21,-0.72,5.01,0.29,-7.24,7.91,-1.61
198802,4.75,3.34,-1.71,0.46,-1.47,4.36,1.34
198803,-2.27,6.15,0.73,0.44,0.58,-0.84,1.24
198804,0.56,1.0,1.67,0.46,2.24,0.23,0.47
198805,-0.29,-2.6,2.42,0.51,0.63,0.65,-0.05
198806,4.79,2.11,-1.24,0.49,-2.93,1.87,1.86
198807,-1.25,-0.25,2.22,0.51,0.66,3.36,-1.35
198808,-3.31,0.04,2.15,0.59,0.35,-1.93,-1.96
198809,3.3,-1.31,-0.75,0.62,0.27,-0.12,-2.0
198810,1.15,-2.93,2.05,0.61,1.33,-1.0,-0.25
198811,-2.29,-1.72,1.41,0.57,0.33,-0.67,-0.8
198812,1.49,1.95,-1.69,0.63,0.49,2.29,0.79
198901,6.1,-2.23,0.6,0.55,-0.16,0.97,2.83
198902,-2.25,2.82,1.01,0.61,0.99,1.07,0.93
